,passage_id,question,passage
10,1997_944_59,Wobec kogo sąd może orzec obniżenie stopnia wojskowego albo degradację?,"Art. 59. 1. Przełożony dyscyplinarny, który wszczął postępowanie dyscyplinarne, orzeka w pierwszej instancji we wszystkich sprawach dyscyplinarnych, z zastrzeżeniem ust. 2-5. 2. Karę dyscyplinarną, o której mowa w art. 22 ust. 1 pkt 5, może wymierzyć w pierwszej instancji tylko dowódca jednostki wojskowej. 3. Karę dyscyplinarną, o której mowa w art. 22 ust. 1 pkt 10, może wymierzyć w pierwszej instancji tylko dowódca jednostki wojskowej, w której żołnierz pełni nadterminową zasadniczą służbę wojskową, lub przełożony dyscyplinarny, który ma prawo zwalniania ze służby wojskowej pełnionej w charakterze kandydata na żołnierza zawodowego albo z zawodowej służby wojskowej. 4. Karę dyscyplinarną, o której mowa w art. 22 ust. 1 pkt 6, może orzec w pierwszej instancji tylko wojskowy sąd garnizonowy, na wniosek dowódcy jednostki wojskowej. 5. Jeżeli sąd wojskowy, stwierdzając winę, nie znajduje podstaw do wymierzenia kary dyscyplinarnej, o której mowa w art. 22 ust. 1 pkt 6, może orzec inną karę dyscyplinarną, o której mowa w art. 22 ust. 1 pkt 1-5, lub odstąpić albo warunkowo odstąpić od wymierzenia kary dyscyplinarnej."
11,1997_555_654,Wobec kogo sąd może orzec obniżenie stopnia wojskowego albo degradację?,"Art. 654. § 1. Wojskowy sąd okręgowy orzeka w pierwszej instancji w sprawach o przestępstwa: 1) popełnione przez żołnierzy posiadających stopień majora i wyższy, 2) podlegające w postępowaniu przed sądami powszechnymi właściwości sądu wojewódzkiego oraz określone w art. 339 § 3 i art. 345 § 3 i 4 Kodeksu karnego, 3) popełnione przez żołnierzy i członków personelu cywilnego, o których mowa w art. 647 § 1 pkt 3, 4) inne na podstawie przepisów szczególnych. § 2. W postępowaniu przygotowawczym, w przedmiocie tymczasowego aresztowania w stosunku do żołnierzy, o których mowa w § 1 pkt 1, a także do żołnierzy sił zbrojnych państw obcych i członków ich personelu cywilnego, o których mowa w § 1 pkt 3, orzeka jednoosobowo wojskowy sąd okręgowy. § 3. Wojskowy sąd okręgowy rozpoznaje także środki odwoławcze od orzeczeń i zarządzeń wydanych w pierwszej instancji w wojskowym sądzie garnizonowym oraz w wypadkach wskazanych w ustawie i z zachowaniem granic wskazanych w § 1 - od orzeczeń i zarządzeń wydanych w postępowaniu przygotowawczym. § 4. Wojskowy sąd okręgowy rozpoznaje ponadto sprawy przewidziane dla sądu wyższego rzędu nad wojskowym sądem garnizonowym oraz inne sprawy przekazane mu przez ustawę. § 5. Wojskowy sąd okręgowy ma poza tym uprawnienia i obowiązki procesowe, które w postępowaniu przed sądami powszechnymi przysługują sądowi wojewódzkiemu."
12,1997_779_6,Na jakiej podstawie przepisy ustawy nie dotyczą użycia Sił Zbrojnych poza granicami Rzeczypospolitej Polskiej?,Art. 6. Przepisy ustawy nie dotyczą użycia Sił Zbrojnych poza granicami Rzeczypospolitej Polskiej na podstawie ratyfikowanych umów międzynarodowych.
13,1997_779_6,Na jakiej podstawie przepisy ustawy nie dotyczą użycia Sił Zbrojnych poza granicami Rzeczypospolitej Polskiej?,Art. 6. Przepisy ustawy nie dotyczą użycia Sił Zbrojnych poza granicami Rzeczypospolitej Polskiej na podstawie ratyfikowanych umów międzynarodowych.
14,1997_779_1,Na jakiej podstawie przepisy ustawy nie dotyczą użycia Sił Zbrojnych poza granicami Rzeczypospolitej Polskiej?,"Art. 1. Ustawa określa zasady użycia poza granicami Rzeczypospolitej Polskiej związków taktycznych, oddziałów i pododdziałów wydzielonych z Sił Zbrojnych, zwanych dalej ""jednostkami wojskowymi""."
15,1999_1063_13,Na jakiej podstawie przepisy ustawy nie dotyczą użycia Sił Zbrojnych poza granicami Rzeczypospolitej Polskiej?,"Art. 13. 1. Podczas pobytu na terytorium Rzeczypospolitej Polskiej żołnierze wojsk obcych w czasie wykonywania zadań służbowych: 1) powinni nosić umundurowanie wojsk, do których należą, 2) są uprawnieni, na podstawie rozkazu wydanego przez organy wojskowe strony wysyłającej, do posiadania i noszenia broni, 3) mogą używać broni w przypadkach i w trybie określonych w przepisach prawa polskiego, z zastrzeżeniem ust. 3, za zgodą właściwych organów wojskowych Rzeczypospolitej Polskiej. 2. Zasady noszenia umundurowania oraz posiadania i noszenia broni w czasie wykonywania zadań służbowych regulują przepisy strony wysyłającej. 3. Użycie broni przez żołnierzy wojsk obcych podczas pobytu na terytorium Rzeczypospolitej Polskiej może nastąpić: 1) wyłącznie wobec żołnierzy i personelu cywilnego tych wojsk - w przypadku i w trybie określonych w przepisach strony wysyłającej, 2) w czasie ćwiczeń wojsk obcych - w trybie określonym w przepisach strony wysyłającej, o ile nie naruszają one przepisów prawa polskiego."
16,1997_593_48,Kto jest stroną w postępowaniu dyscyplinarnym?,"Art. 48. Stronami w postępowaniu dyscyplinarnym są: 1) oskarżyciel, 2) obwiniony, 3) pokrzywdzony."
17,2002_1070_131,Kto jest stroną w postępowaniu dyscyplinarnym?,"Art. 131. 1. Czynności dowodowe w postępowaniu dyscyplinarnym powinny być zakończone w terminie miesiąca od dnia wszczęcia tego postępowania. Przełożony dyscyplinarny, w drodze postanowienia, może przedłużyć termin prowadzenia czynności dowodowych do 2 miesięcy. 2. Szef SKW albo Szef SWW, w drodze postanowienia, może przedłużyć termin prowadzenia czynności dowodowych na czas oznaczony powyżej 2 miesięcy. 3. Przełożony dyscyplinarny może zawiesić postępowanie dyscyplinarne z powodu zaistnienia długotrwałej przeszkody uniemożliwiającej prowadzenie postępowania. Na postanowienie o zawieszeniu postępowania dyscyplinarnego przysługuje zażalenie w terminie 7 dni od dnia doręczenia postanowienia. Jeżeli postępowanie dyscyplinarne zostało wszczęte z inicjatywy pokrzywdzonego, zażalenie to może również złożyć pokrzywdzony. 4. Przełożony dyscyplinarny wydaje postanowienie o podjęciu zawieszonego postępowania dyscyplinarnego po ustaniu przeszkody, o której mowa w ust. 3."
18,2003_844_35p,Kto jest stroną w postępowaniu dyscyplinarnym?,Art. 35p. 1. Koszty postępowania dyscyplinarnego stanowią wszelkie wydatki poniesione w związku z tym postępowaniem. 2. W przypadku prawomocnego ukarania koszty postępowania dyscyplinarnego ponosi ukarany.
19,2003_2276_54,Kto jest stroną w postępowaniu dyscyplinarnym?,"Art. 54. Jeżeli rzecznik dyscyplinarny uzna, że zostały wyjaśnione wszystkie istotne okoliczności popełnienia przewinienia dyscyplinarnego, zawiadamia obwinionego i jego obrońcę, o terminie i miejscu zapoznania się z całością materiałów zebranych w postępowaniu dyscyplinarnym oraz poucza o prawie złożenia w terminie trzech dni, od dnia tego zapoznania, wniosku o ich uzupełnienie."
20,2001_634_7,Czego nie wolno wykorzystywać do żywienia ludzi oraz do produkcji?,"Art. 7. 1. Zakazuje się wykorzystywania do żywienia ludzi oraz do produkcji środków spożywczych, używek, dozwolonych substancji dodatkowych i innych dodatków do środków spożywczych i używek, produktów pochodzących z roślin, ze zwierząt lub od zwierząt, które zawierają pozostałości zanieczyszczeń chemicznych, biologicznych, leków lub innych środków farmaceutycznych, a także skażeń promieniotwórczych w ilościach przekraczających najwyższe dopuszczalne poziomy. 2. Minister właściwy do spraw rolnictwa w porozumieniu z ministrem właściwym do spraw zdrowia określi, w drodze rozporządzenia, najwyższe dopuszczalne poziomy pozostałości zanieczyszczeń chemicznych, biologicznych, leków lub innych środków farmaceutycznych, a także skażeń promieniotwórczych w roślinach, u zwierząt, w tkankach lub narządach zwierząt po uboju i w środkach spożywczych pochodzenia roślinnego lub zwierzęcego, mając na względzie wyniki badań naukowych i potrzebę zapewnienia ochrony zdrowia lub życia człowieka."
21,2001_627_165,Czego nie wolno wykorzystywać do żywienia ludzi oraz do produkcji?,Art. 165. Szczegółowe zasady postępowania z substancjami chemicznymi oraz wprowadzania do środowiska genetycznie zmodyfikowanych organizmów określają przepisy odrębne. Rozdział 3 Produkty
22,2001_634_17,Czego nie wolno wykorzystywać do żywienia ludzi oraz do produkcji?,"Art. 17. 1. Środki spożywcze, używki, dozwolone substancje dodatkowe lub inne dodatki do środków spożywczych i używek oraz środki spożywcze specjalnego przeznaczenia żywieniowego produkowane w kraju i przywożone z zagranicy, które nie spełniają wymagań w zakresie jakości zdrowotnej ustalonych w: 1) ustawie, 2) przepisach o zwalczaniu chorób zakaźnych zwierząt, badaniu zwierząt rzeźnych i mięsa oraz o Inspekcji Weterynaryjnej - w zakresie środków spożywczych pochodzenia zwierzęcego, 3) przepisach o ochronie roślin uprawnych - nie mogą być wprowadzone do obrotu w kraju w celu spożycia lub używania przez ludzi lub stosowania do produkcji żywności. 2. Środki spożywcze, używki, dozwolone substancje dodatkowe lub inne dodatki do środków spożywczych i używek oraz środki spożywcze specjalnego przeznaczenia żywieniowego spełniające inne wymagania niż ustalone w ustawie można produkować, jeżeli są one przeznaczone na eksport. 3. Główny Inspektor Sanitarny może wydać decyzję zezwalającą na: 1) odstępstwa od wymagań określonych w ustawie, 2) produkcję lub wprowadzanie do obrotu środków spożywczych specjalnego przeznaczenia żywieniowego, dla których nie zostały ustalone szczegółowe wymagania w zakresie jakości zdrowotnej, 3) wprowadzenie do obrotu w kraju artykułów, o których mowa w ust. 2."
23,2001_628_55,Czego nie wolno wykorzystywać do żywienia ludzi oraz do produkcji?,"Art. 55. 1. Zakazuje się składowania odpadów: 1) występujących w postaci ciekłej, w tym odpadów zawierających wodę w ilości powyżej 95% masy całkowitej, z wyłączeniem szlamów, 2) o właściwościach wybuchowych, żrących, utleniających, wysoce łatwopalnych lub łatwopalnych, 3) medycznych i weterynaryjnych, 4) powstających w wyniku prac naukowo-badawczych, rozwojowych lub działalności dydaktycznej, które nie są zidentyfikowane lub są nowe i których oddziaływanie na środowisko jest nieznane, 5) opon i ich części, z wyłączeniem opon rowerowych i opon o średnicy zewnętrznej większej niż 1400 mm, 6) w śródlądowych wodach powierzchniowych i podziemnych, 7) w polskich obszarach morskich, 8) w przypadkach określonych w przepisach odrębnych. 2. Zakazuje się rozcieńczania lub sporządzania mieszanin odpadów ze sobą lub z innymi substancjami lub przedmiotami w celu spełnienia kryteriów dopuszczenia odpadów do składowania na składowisku odpadów. 3. Minister właściwy do spraw gospodarki w porozumieniu z ministrem właściwym do spraw środowiska, kierując się właściwościami odpadów, może określić w drodze rozporządzenia, kryteria dopuszczenia odpadów do składowania na składowisku odpadów danego typu. 4. Odpady powinny być składowane w sposób selektywny. Dopuszcza się składowanie określonych rodzajów odpadów w sposób nieselektywny (mieszanie), jeżeli w wyniku takiego składowania nie nastąpi zwiększenie negatywnego oddziaływania tych odpadów na środowisko. 5. Minister właściwy do spraw gospodarki w porozumieniu z ministrem właściwym do spraw środowiska, kierując się właściwościami odpadów, może określić, w drodze rozporządzenia, rodzaje odpadów, które mogą być składowane w sposób nieselektywny."
24,2003_1750_58,Co powinno zawierać oświadczenie żołnierza o swoim stanie majątkowym?,"Art. 58. 1. Żołnierz zawodowy zajmujący stanowisko służbowe dowódcy jednostki wojskowej, jego zastępcy lub głównego księgowego jest obowiązany do złożenia oświadczenia o swoim stanie majątkowym. Oświadczenie o stanie majątkowym dotyczy majątku odrębnego oraz objętego małżeńską wspólnością majątkową. Oświadczenie to powinno zawierać w szczególności informacje o posiadanych zasobach pieniężnych, nieruchomościach, udziałach i akcjach w spółkach handlowych, a ponadto o nabytym przez żołnierza zawodowego albo jego małżonka od Skarbu Państwa, innej państwowej osoby prawnej, jednostek samorządu terytorialnego lub ich związków mieniu, które podlegało zbyciu w drodze przetargu. Oświadczenie to powinno również zawierać dane dotyczące prowadzenia działalności gospodarczej oraz pełnienia przez małżonka żołnierza zawodowego funkcji w spółkach handlowych lub spółdzielniach, z wyjątkiem funkcji w radzie nadzorczej spółdzielni mieszkaniowej. 2. Oświadczenie, o którym mowa w ust. 1, żołnierz zawodowy składa Ministrowi Obrony Narodowej, który dokonuje analizy zawartych w nim danych. 3. Oświadczenie, o którym mowa w ust. 1, składa się przed objęciem stanowiska służbowego, a następnie co roku do dnia 31 marca, według stanu na dzień 31 grudnia roku poprzedniego, a także w dniu zwolnienia ze stanowiska służbowego. 4. Informacje zawarte w oświadczeniu, o którym mowa w ust. 1, stanowią tajemnicę służbową, chyba że żołnierz zawodowy, który złożył oświadczenie, wyraził pisemną zgodę na ich ujawnienie. W szczególnie uzasadnionych przypadkach Minister Obrony Narodowej może je ujawnić pomimo braku zgody składającego oświadczenie. 5. Oświadczenie, o którym mowa w ust. 1, przechowuje się przez sześć lat. 6. Do złożenia oświadczenia, o którym mowa w ust. 1, stosuje się odpowiednio formularz określony przepisami wydanymi na podstawie art. 11 ustawy z dnia 21 sierpnia 1997 r. o ograniczeniu prowadzenia działalności gospodarczej przez osoby pełniące funkcje publiczne (Dz.U. Nr 106, poz. 679, z 1998 r. Nr 162, poz. 1126, z 1999 r. Nr 49, poz. 483, z 2000 r. Nr 26, poz. 306, z 2002 r. Nr 113, poz. 984 i Nr 214, poz. 1806 oraz z 2003 r. Nr 137, poz. 1302), dotyczącymi oświadczenia, o którym mowa w art. 10 ust. 1 tej ustawy."
25,2003_1750_58,Co powinno zawierać oświadczenie żołnierza o swoim stanie majątkowym?,"Art. 58. 1. Żołnierz zawodowy zajmujący stanowisko służbowe dowódcy jednostki wojskowej, jego zastępcy lub głównego księgowego jest obowiązany do złożenia oświadczenia o swoim stanie majątkowym. Oświadczenie o stanie majątkowym dotyczy majątku odrębnego oraz objętego małżeńską wspólnością majątkową. Oświadczenie to powinno zawierać w szczególności informacje o posiadanych zasobach pieniężnych, nieruchomościach, udziałach i akcjach w spółkach handlowych, a ponadto o nabytym przez żołnierza zawodowego albo jego małżonka od Skarbu Państwa, innej państwowej osoby prawnej, jednostek samorządu terytorialnego lub ich związków mieniu, które podlegało zbyciu w drodze przetargu. Oświadczenie to powinno również zawierać dane dotyczące prowadzenia działalności gospodarczej oraz pełnienia przez małżonka żołnierza zawodowego funkcji w spółkach handlowych lub spółdzielniach, z wyjątkiem funkcji w radzie nadzorczej spółdzielni mieszkaniowej. 2. Oświadczenie, o którym mowa w ust. 1, żołnierz zawodowy składa Ministrowi Obrony Narodowej, który dokonuje analizy zawartych w nim danych. 3. Oświadczenie, o którym mowa w ust. 1, składa się przed objęciem stanowiska służbowego, a następnie co roku do dnia 31 marca, według stanu na dzień 31 grudnia roku poprzedniego, a także w dniu zwolnienia ze stanowiska służbowego. 4. Informacje zawarte w oświadczeniu, o którym mowa w ust. 1, stanowią tajemnicę służbową, chyba że żołnierz zawodowy, który złożył oświadczenie, wyraził pisemną zgodę na ich ujawnienie. W szczególnie uzasadnionych przypadkach Minister Obrony Narodowej może je ujawnić pomimo braku zgody składającego oświadczenie. 5. Oświadczenie, o którym mowa w ust. 1, przechowuje się przez sześć lat. 6. Do złożenia oświadczenia, o którym mowa w ust. 1, stosuje się odpowiednio formularz określony przepisami wydanymi na podstawie art. 11 ustawy z dnia 21 sierpnia 1997 r. o ograniczeniu prowadzenia działalności gospodarczej przez osoby pełniące funkcje publiczne (Dz.U. Nr 106, poz. 679, z 1998 r. Nr 162, poz. 1126, z 1999 r. Nr 49, poz. 483, z 2000 r. Nr 26, poz. 306, z 2002 r. Nr 113, poz. 984 i Nr 214, poz. 1806 oraz z 2003 r. Nr 137, poz. 1302), dotyczącymi oświadczenia, o którym mowa w art. 10 ust. 1 tej ustawy."
26,2003_1750_76,Co powinno zawierać oświadczenie żołnierza o swoim stanie majątkowym?,"Art. 76. 1. Prawo do uposażenia powstaje z dniem rozpoczęcia przez żołnierza zawodowego pełnienia zawodowej służby wojskowej. 2. Zmiana wysokości uposażenia następuje: 1) z dniem powstania okoliczności uzasadniających tę zmianę - w przypadku zaistnienia okoliczności powodujących podwyższenie uposażenia; 2) z pierwszym dniem miesiąca następującego po miesiącu, w którym powstały okoliczności uzasadniające tę zmianę - w razie zaistnienia okoliczności powodujących obniżenie uposażenia. 3. Jeżeli prawo do uposażenia powstało lub podwyższenie wysokości tego uposażenia nastąpiło w trakcie miesiąca kalendarzowego, uposażenie za czas do końca tego miesiąca oblicza się w wysokości 1/30 części miesięcznego uposażenia za każdy dzień. 4. Prawo do uposażenia wygasa z ostatnim dniem miesiąca, w którym żołnierz zawodowy został zwolniony z zawodowej służby wojskowej, zaginął lub zmarł."
